"First names at birth by sex at birth, selected indicators (Number) 1 2 3 4"
"Frequency: Annual"
"Table: 17-10-0147-01"
"Release date: 2024-09-25"
"Geography: Canada"
""
""

"Geography, place of residence of mother","Canada",,,,,
"AKUA","..","..","..","..","..",".."
"AKUL","..","..","..","..","..",".."
"ALA","..","..","..","..","..",".."
"ALAA","..","..","..","16","1,398","0.0114"
"ALABAMA","..","..","..","..","..",".."
"ALADDIN","..","..","..","..","..",".."
"ALAE","..","..","..","..","..",".."
"ALAIA","..","..","..","76","384","0.0544"
"ALAIN","..","..","..","..","..",".."
"ALAINA","..","..","..","62","457","0.0444"
"ALAIRA","..","..","..","..","..",".."
"ALAIYA","..","..","..","12","1,739","0.0086"
"ALAIYAH","..","..","..","..","..",".."
"ALAN","54","508","0.0357","..","..",".."
"ALANA","..","..","..","62","457","0.0444"
"ALANAH","..","..","..","..","..",".."
"ALANDA","..","..","..","..","..",".."
"ALANDRA","..","..","..","..","..",".."
"ALANI","..","..","..","12","1,739","0.0086"
"ALANIS","..","..","..","10","1,992","0.0072"
"ALANNA","..","..","..","36","755","0.0258"
"ALANNAH","..","..","..","6","2,824","0.0043"
"ALANNIS","..","..","..","..","..",".."
"ALARA","..","..","..","26","976","0.0186"
"ALARIC","13","1,505","0.0086","..","..",".."
"ALARIK","..","..","..","..","..",".."
"ALASDAIR","6","2,614","0.0040","..","..",".."
"ALASIA","..","..","..","..","..",".."
"ALASKA","..","..","..","8","2,326","0.0057"
"ALASSANE","..","..","..","..","..",".."
"ALASTAIR","9","1,963","0.0060","..","..",".."
"ALAURA","..","..","..","..","..",".."
"ALAYA","..","..","..","51","553","0.0365"
"ALAYAH","..","..","..","31","849","0.0222"
"ALAYIAH","..","..","..","..","..",".."
"ALAYNA","..","..","..","77","382","0.0551"
"ALAYNAH","..","..","..","..","..",".."
"ALAYSIA","..","..","..","..","..",".."
"ALBA","..","..","..","24","1,025","0.0172"
"ALBAN","7","2,348","0.0046","..","..",".."
"ALBERT","158","205","0.1046","..","..",".."
"ALBERTA","..","..","..","..","..",".."
"ALBERTO","8","2,136","0.0053","..","..",".."
"ALBIE","5","2,931","0.0033","..","..",".."
"ALBIN","..","..","..","..","..",".."
"ALBORZ","..","..","..","..","..",".."
"ALDEN","46","583","0.0305","..","..",".."
"ALDER","15","1,355","0.0099","..","..",".."
"ALDIN","..","..","..","..","..",".."
"ALDO","..","..","..","..","..",".."
"ALDRICH","..","..","..","..","..",".."
"ALDRIN","..","..","..","..","..",".."
"ALEA","..","..","..","6","2,824","0.0043"
"ALEAH","..","..","..","18","1,292","0.0129"
"ALEAHA","..","..","..","..","..",".."
"ALEANA","..","..","..","..","..",".."
"ALEASHA","..","..","..","..","..",".."
"ALEC","50","547","0.0331","..","..",".."
"ALECIA","..","..","..","..","..",".."
"ALECK","..","..","..","..","..",".."
"ALECZANDER","..","..","..","..","..",".."
"ALEEAH","..","..","..","..","..",".."
"ALEEHA","..","..","..","7","2,557","0.0050"
"ALEEM","..","..","..","..","..",".."
"ALEEN","..","..","..","5","3,197","0.0036"
"ALEENA","..","..","..","53","538","0.0379"
"ALEERA","..","..","..","..","..",".."
"ALEESA","..","..","..","..","..",".."
"ALEESHA","..","..","..","5","3,197","0.0036"
"ALEEYA","..","..","..","..","..",".."
"ALEEYAH","..","..","..","..","..",".."
"ALEEZA","..","..","..","6","2,824","0.0043"
"ALEIA","..","..","..","7","2,557","0.0050"
"ALEIDA","..","..","..","..","..",".."
"ALEIGH","..","..","..","..","..",".."
"ALEIGHA","..","..","..","8","2,326","0.0057"
"ALEISHA","..","..","..","..","..",".."
"ALEISTER","..","..","..","..","..",".."
"ALEJANDRA","..","..","..","9","2,160","0.0064"
"ALEJANDRO","29","837","0.0192","..","..",".."
"ALEK","23","1,019","0.0152","..","..",".."
"ALEKS","..","..","..","..","..",".."
"ALEKSA","..","..","..","..","..",".."
"ALEKSANDAR","7","2,348","0.0046","..","..",".."
"ALEKSANDER","20","1,117","0.0132","..","..",".."
"ALEKSANDR","..","..","..","..","..",".."
"ALEKSANDRA","..","..","..","11","1,860","0.0079"
"ALEKSEY","..","..","..","..","..",".."
"ALEKSI","..","..","..","..","..",".."
"ALEKSIA","..","..","..","..","..",".."
"ALEKSY","..","..","..","..","..",".."
"ALEKZANDER","..","..","..","..","..",".."
"ALEN","..","..","..","..","..",".."
"ALENA","..","..","..","28","912","0.0200"
"ALERA","..","..","..","..","..",".."
"ALES","6","2,614","0.0040","..","..",".."
"ALESHA","..","..","..","..","..",".."
"ALESHIA","..","..","..","..","..",".."
"ALESIA","..","..","..","..","..",".."
"ALESSA","..","..","..","14","1,551","0.0100"
"ALESSANDRA","..","..","..","31","849","0.0222"
"ALESSANDRO","32","778","0.0212","..","..",".."
"ALESSI","..","..","..","12","1,739","0.0086"
"ALESSIA","..","..","..","95","311","0.0680"
"ALESSIO","65","442","0.0430","..","..",".."
"ALESSO","..","..","..","..","..",".."
"ALESSYA","..","..","..","..","..",".."
"ALETA","..","..","..","..","..",".."
"ALETHEA","..","..","..","..","..",".."
"ALETHEIA","..","..","..","7","2,557","0.0050"
"ALETTA","..","..","..","5","3,197","0.0036"
"ALEX","148","216","0.0980","10","1,992","0.0072"
"ALEXA","..","..","..","13","1,645","0.0093"
"ALEXAH","..","..","..","..","..",".."
"ALEXANDAR","..","..","..","..","..",".."
"ALEXANDER","588","34","0.3893","..","..",".."
"ALEXANDR","..","..","..","..","..",".."
"ALEXANDRA","..","..","..","138","197","0.0987"
"ALEXANDRE","84","358","0.0556","..","..",".."
"ALEXANDREA","..","..","..","..","..",".."
"ALEXANDRIA","..","..","..","24","1,025","0.0172"
"ALEXANDRINE","..","..","..","..","..",".."
"ALEXANDRO","6","2,614","0.0040","..","..",".."
"ALEXANDROS","15","1,355","0.0099","..","..",".."
"ALEXANDRU","..","..","..","..","..",".."
"ALEXANE","..","..","..","9","2,160","0.0064"
"ALEXANN","..","..","..","..","..",".."
"ALEX-ANN","..","..","..","..","..",".."
"ALEXANNE","..","..","..","10","1,992","0.0072"
"ALEX-ANNE","..","..","..","..","..",".."
"ALEX-ANTOINE","..","..","..","..","..",".."
"ALEXAVIER","..","..","..","..","..",".."
"ALEXCIA","..","..","..","..","..",".."
"ALEXE","..","..","..","14","1,551","0.0100"
"ALEXEI","9","1,963","0.0060","..","..",".."
"ALEXENDRA","..","..","..","..","..",".."
"ALEXENDRE","..","..","..","..","..",".."
"ALEXEY","..","..","..","..","..",".."
"ALEXI","11","1,696","0.0073","..","..",".."
"ALEXIA","..","..","..","43","652","0.0308"
"ALEXIANE","..","..","..","..","..",".."
"ALEXIANNE","..","..","..","..","..",".."
"ALEXIE","..","..","..","46","607","0.0329"
"ALEXIM","..","..","..","..","..",".."
"ALEXINA","..","..","..","..","..",".."
"ALEXIOS","..","..","..","..","..",".."
"ALEXIS","190","170","0.1258","59","487","0.0422"
"ALEXSANDRA","..","..","..","..","..",".."
"ALEXUS","..","..","..","..","..",".."
"ALEXXA","..","..","..","..","..",".."
"ALEXY","16","1,299","0.0106","..","..",".."
"ALEXYA","..","..","..","6","2,824","0.0043"
"ALEXYS","..","..","..","..","..",".."
"ALEXZANDER","5","2,931","0.0033","..","..",".."
"ALEXZANDRA","..","..","..","..","..",".."
"ALEYA","..","..","..","10","1,992","0.0072"
"ALEYAH","..","..","..","..","..",".."
"ALEYNA","..","..","..","17","1,348","0.0122"
"ALFIE","37","696","0.0245","..","..",".."
"ALFONSO","6","2,614","0.0040","..","..",".."
"ALFRED","66","436","0.0437","..","..",".."
"ALFREDO","..","..","..","..","..",".."
"ALI","347","80","0.2297","5","3,197","0.0036"
"ALIA","..","..","..","60","479","0.0429"
"ALIAH","..","..","..","5","3,197","0.0036"
"ALIANA","..","..","..","16","1,398","0.0114"
"ALIANNA","..","..","..","14","1,551","0.0100"
"ALIANNAH","..","..","..","..","..",".."
"ALIAS","..","..","..","..","..",".."
"ALICA","..","..","..","..","..",".."
"ALICE","..","..","..","793","10","0.5674"
"ALICIA","..","..","..","139","195","0.0995"
"ALICIA-ROSE","..","..","..","..","..",".."
"ALICJA","..","..","..","..","..",".."
"ALICYA","..","..","..","..","..",".."
"ALIDA","..","..","..","5","3,197","0.0036"
"ALIE","..","..","..","13","1,645","0.0093"
"ALIESHA","..","..","..","..","..",".."
"ALIF","..","..","..","..","..",".."
"ALIJAH","18","1,198","0.0119","..","..",".."
"ALIK","..","..","..","..","..",".."
"ALIKA","..","..","..","..","..",".."
"ALIM","..","..","..","..","..",".."
"ALIMA","..","..","..","..","..",".."
"ALIN","..","..","..","..","..",".."
"ALINA","..","..","..","170","149","0.1216"
"ALINE","..","..","..","18","1,292","0.0129"
"ALIOUNE","..","..","..","..","..",".."
"ALIREZA","..","..","..","..","..",".."
"ALISA","..","..","..","30","865","0.0215"
"ALISE","..","..","..","..","..",".."
"ALISHA","..","..","..","65","443","0.0465"
"ALISHBA","..","..","..","8","2,326","0.0057"
"ALISHIA","..","..","..","..","..",".."
"ALISIA","..","..","..","..","..",".."
"ALISON","..","..","..","37","735","0.0265"
"ALISSA","..","..","..","18","1,292","0.0129"
"ALISSAR","..","..","..","..","..",".."
"ALISSIA","..","..","..","..","..",".."
"ALISSON","..","..","..","8","2,326","0.0057"
"ALISTAIR","39","668","0.0258","..","..",".."
"ALISTER","7","2,348","0.0046","..","..",".."
"ALITA","..","..","..","15","1,473","0.0107"
"ALIVIA","..","..","..","29","889","0.0207"
"ALIVIAH","..","..","..","..","..",".."
"ALIX","11","1,696","0.0073","9","2,160","0.0064"
"ALIXANDRA","..","..","..","..","..",".."
"ALIXE","..","..","..","..","..",".."
"ALIXIA","..","..","..","..","..",".."
"ALIYA","..","..","..","85","339","0.0608"
"ALIYAH","..","..","..","130","212","0.0930"
"ALIYAN","..","..","..","..","..",".."
"ALIYANA","..","..","..","..","..",".."
"ALIZA","..","..","..","51","553","0.0365"
"ALIZABETH","..","..","..","..","..",".."
"ALIZAH","..","..","..","6","2,824","0.0043"
"ALIZAY","..","..","..","8","2,326","0.0057"
"ALIZE","..","..","..","5","3,197","0.0036"
"ALIZEE","..","..","..","15","1,473","0.0107"
"ALIZEH","..","..","..","6","2,824","0.0043"
"ALLA","..","..","..","..","..",".."
"ALLAIN","..","..","..","..","..",".."
"ALLAN","22","1,048","0.0146","..","..",".."
"ALLANA","..","..","..","5","3,197","0.0036"
"ALLANAH","..","..","..","..","..",".."
"ALLANNAH","..","..","..","..","..",".."
"ALLEGRA","..","..","..","14","1,551","0.0100"
"ALLEN","27","886","0.0179","..","..",".."
"ALLEY","..","..","..","..","..",".."
"ALLI","..","..","..","..","..",".."
"ALLIAH","..","..","..","..","..",".."
"ALLICIA","..","..","..","..","..",".."
"ALLIE","..","..","..","45","629","0.0322"
"ALLISA","..","..","..","..","..",".."
"ALLISHA","..","..","..","..","..",".."
"ALLISON","..","..","..","107","275","0.0766"
"ALLISSA","..","..","..","..","..",".."
"ALLISTER","13","1,505","0.0086","..","..",".."
"ALLIYAH","..","..","..","..","..",".."
"ALLORA","..","..","..","..","..",".."
"ALLY","..","..","..","19","1,238","0.0136"
"ALLYA","..","..","..","..","..",".."
"ALLYAH","..","..","..","..","..",".."
"ALLYCIA","..","..","..","..","..",".."
"ALLYSA","..","..","..","..","..",".."
"ALLYSHA","..","..","..","..","..",".."
"ALLYSON","..","..","..","20","1,190","0.0143"
"ALLYSSA","..","..","..","..","..",".."
"ALLYSSON","..","..","..","..","..",".."
"ALMA","..","..","..","93","319","0.0665"
"ALMAS","..","..","..","6","2,824","0.0043"
"ALMEIDA","..","..","..","..","..",".."
"ALMIR","..","..","..","..","..",".."
"ALMIRA","..","..","..","..","..",".."
"ALON","..","..","..","..","..",".."
"ALONA","..","..","..","..","..",".."
"ALONDRA","..","..","..","5","3,197","0.0036"
"ALONIAB","10","1,815","0.0066","..","..",".."
"ALONSO","16","1,299","0.0106","..","..",".."
"ALONZO","33","760","0.0218","..","..",".."
"ALORA","..","..","..","112","253","0.0801"
"ALORAH","..","..","..","8","2,326","0.0057"
"ALOUPA","..","..","..","..","..",".."
"ALP","8","2,136","0.0053","..","..",".."
"ALPHA","12","1,605","0.0079","..","..",".."
"ALPHEE","..","..","..","..","..",".."
"ALPHONSE","15","1,355","0.0099","..","..",".."
"ALSTON","..","..","..","..","..",".."
"ALTAN","..","..","..","..","..",".."
"ALTHEA","..","..","..","29","889","0.0207"
"ALTON","7","2,348","0.0046","..","..",".."
"ALUEL","..","..","..","..","..",".."
"ALUNA","..","..","..","..","..",".."
"ALVA","..","..","..","..","..",".."
"ALVAND","..","..","..","..","..",".."
"ALVARO","5","2,931","0.0033","..","..",".."
"ALVEENA","..","..","..","..","..",".."
"ALVEY","..","..","..","..","..",".."
"ALVIN","40","657","0.0265","..","..",".."
"ALVINA","..","..","..","..","..",".."
"ALWYN","..","..","..","..","..",".."
"ALY","13","1,505","0.0086","19","1,238","0.0136"
"ALYA","..","..","..","67","427","0.0479"
"ALYAA","..","..","..","..","..",".."
"ALYAAN","5","2,931","0.0033","..","..",".."
"ALYAH","..","..","..","..","..",".."
"ALYAN","..","..","..","..","..",".."
"ALYANA","..","..","..","18","1,292","0.0129"
"ALYANNA","..","..","..","5","3,197","0.0036"
"ALYANNAH","..","..","..","..","..",".."
"ALYCE","..","..","..","8","2,326","0.0057"
"ALYCIA","..","..","..","35","772","0.0250"
"ALYENA","..","..","..","..","..",".."
"ALYIA","..","..","..","..","..",".."
"ALYIAH","..","..","..","..","..",".."
"ALYKHAN","..","..","..","..","..",".."
"ALYNA","..","..","..","8","2,326","0.0057"
"ALYNN","..","..","..","..","..",".."
"ALYRA","..","..","..","..","..",".."
"ALY-ROSE","..","..","..","..","..",".."
"ALYS","..","..","..","..","..",".."
"ALYSA","..","..","..","..","..",".."
"ALYSE","..","..","..","5","3,197","0.0036"
"ALYSHA","..","..","..","7","2,557","0.0050"
"ALYSHEA","..","..","..","..","..",".."
"ALYSHIA","..","..","..","..","..",".."
"ALYSIA","..","..","..","..","..",".."
"ALYSON","..","..","..","27","944","0.0193"
"ALYSS","..","..","..","5","3,197","0.0036"
"ALYSSA","..","..","..","129","215","0.0923"
"ALYSSANDRA","..","..","..","..","..",".."
"ALYSSANE","..","..","..","..","..",".."
"ALYSSA-ROSE","..","..","..","..","..",".."
"ALYSSE","..","..","..","..","..",".."
"ALYSSHA","..","..","..","..","..",".."
"ALYSSIA","..","..","..","18","1,292","0.0129"
"ALYSSON","..","..","..","..","..",".."
"ALYSUN","..","..","..","..","..",".."
"ALYVIA","..","..","..","16","1,398","0.0114"
"ALYX","..","..","..","..","..",".."
"ALYXANDRA","..","..","..","..","..",".."
"ALYXIA","..","..","..","..","..",".."
"ALYZA","..","..","..","6","2,824","0.0043"
"ALYZEE","..","..","..","..","..",".."
"AMA","..","..","..","..","..",".."
"AMAAL","..","..","..","..","..",".."
"AMAAN","8","2,136","0.0053","..","..",".."
"AMAANAT","..","..","..","6","2,824","0.0043"
"AMAANI","..","..","..","..","..",".."
"AMAAR","..","..","..","..","..",".."
"AMADEO","7","2,348","0.0046","..","..",".."
"AMADEUS","8","2,136","0.0053","..","..",".."
"AMADOU","11","1,696","0.0073","..","..",".."
"AMAEL","9","1,963","0.0060","..","..",".."
"AMAELLE","..","..","..","5","3,197","0.0036"
"AMAIA","..","..","..","16","1,398","0.0114"
"AMAIRA","..","..","..","41","669","0.0293"
"AMAIRAH","..","..","..","6","2,824","0.0043"
"AMAIYA","..","..","..","9","2,160","0.0064"
"AMAIYAH","..","..","..","..","..",".."
"AMAL","..","..","..","62","457","0.0444"
"AMALIA","..","..","..","40","683","0.0286"
"AMALIE","..","..","..","10","1,992","0.0072"
"AMALYA","..","..","..","9","2,160","0.0064"
"AMAN","6","2,614","0.0040","..","..",".."
"AMANA","..","..","..","5","3,197","0.0036"
"AMANADA","..","..","..","..","..",".."
"AMANAT","..","..","..","44","638","0.0315"
"AMAND","..","..","..","..","..",".."
"AMANDA","..","..","..","75","390","0.0537"
"AMANDA-LEE","..","..","..","..","..",".."
"AMANDA-LYNN","..","..","..","..","..",".."
"AMANDA-MARIE","..","..","..","..","..",".."
"AMANDEEP","..","..","..","..","..",".."
"AMANDINE","..","..","..","15","1,473","0.0107"
"AMANI","7","2,348","0.0046","41","669","0.0293"
"AMANJIT","..","..","..","..","..",".."
"AMANJOT","..","..","..","..","..",".."
"AMANPREET","..","..","..","..","..",".."
"AMANUEL","..","..","..","..","..",".."
"AMANY","..","..","..","..","..",".."
"AMAR","18","1,198","0.0119","..","..",".."
"AMARA","..","..","..","217","115","0.1553"
"AMARACHI","..","..","..","10","1,992","0.0072"
"AMARAH","..","..","..","30","865","0.0215"
"AMARDEEP","..","..","..","..","..",".."
"AMARE","..","..","..","..","..",".."
"AMARI","115","274","0.0761","61","470","0.0436"
"AMARIA","..","..","..","..","..",".."
"AMARIAH","..","..","..","5","3,197","0.0036"
"AMARII","..","..","..","..","..",".."
"AMARIS","..","..","..","9","2,160","0.0064"
"AMARJOT","..","..","..","..","..",".."
"AMARPREET","..","..","..","..","..",".."
"AMARRA","..","..","..","..","..",".."
"AMARU","..","..","..","..","..",".."
"AMARVEER","..","..","..","..","..",".."
"AMAURY","..","..","..","..","..",".."
"AMAY","17","1,244","0.0113","..","..",".."
"AMAYA","..","..","..","161","158","0.1152"
"AMAYAH","..","..","..","34","791","0.0243"
"AMAYAS","..","..","..","..","..",".."
"AMAYRA","..","..","..","38","720","0.0272"
"AMAZIAH","..","..","..","..","..",".."
"AMBAR","..","..","..","7","2,557","0.0050"
"AMBER","..","..","..","128","219","0.0916"
"AMBERDEEP","..","..","..","..","..",".."
"AMBERLEA","..","..","..","..","..",".."
"AMBERLEE","..","..","..","..","..",".."
"AMBER-LEE","..","..","..","..","..",".."
"AMBERLEY","..","..","..","..","..",".."
"AMBERLY","..","..","..","5","3,197","0.0036"
"AMBER-LYN","..","..","..","..","..",".."
"AMBERLYNN","..","..","..","..","..",".."
"AMBER-LYNN","..","..","..","..","..",".."
"AMBIKA","..","..","..","..","..",".."
"AMBRE","..","..","..","16","1,398","0.0114"
"AMBREEN","..","..","..","8","2,326","0.0057"
"AMBRIELLE","..","..","..","..","..",".."
"AMBROISE","..","..","..","..","..",".."
"AMBROSE","23","1,019","0.0152","..","..",".."
"AMBROSIA","..","..","..","..","..",".."
"AMEDEO","..","..","..","..","..",".."
"AMEEN","14","1,430","0.0093","..","..",".."
"AMEENA","..","..","..","11","1,860","0.0079"
"AMEENAH","..","..","..","..","..",".."
"AMEER","29","837","0.0192","..","..",".."
"AMEERA","..","..","..","29","889","0.0207"
"AMEERAH","..","..","..","23","1,059","0.0165"
"AMEILIA","..","..","..","..","..",".."
"AMEL","..","..","..","5","3,197","0.0036"
"AMELA","..","..","..","..","..",".."
"AMELIA","..","..","..","1,102","4","0.7885"
"AMELIAH","..","..","..","..","..",".."
"AMELIANE","..","..","..","..","..",".."
"AMELIANNE","..","..","..","..","..",".."
"AMELIA-ROSE","..","..","..","10","1,992","0.0072"
"AMELIE","..","..","..","67","427","0.0479"
"AMELIYA","..","..","..","5","3,197","0.0036"
"AMELLIA","..","..","..","..","..",".."
"AMELY","..","..","..","..","..",".."
"AMELYA","..","..","..","19","1,238","0.0136"
"AMEN","22","1,048","0.0146","16","1,398","0.0114"
"AMENA","..","..","..","..","..",".."
"AMENAH","..","..","..","..","..",".."
"AMER","7","2,348","0.0046","..","..",".."
"AMERA","..","..","..","..","..",".."
"AMERICA","..","..","..","..","..",".."
"AMERIE","..","..","..","..","..",".."
"AMES","..","..","..","..","..",".."
"AMETHYST","..","..","..","14","1,551","0.0100"
"AMEYA","..","..","..","11","1,860","0.0079"
"AMI","..","..","..","..","..",".."
"AMIA","..","..","..","8","2,326","0.0057"
"AMIAH","..","..","..","..","..",".."
"AMIAS","16","1,299","0.0106","..","..",".."
"AMIE","..","..","..","5","3,197","0.0036"
"AMIEL","..","..","..","..","..",".."
"AMIELLE","..","..","..","..","..",".."
"AMILA","..","..","..","14","1,551","0.0100"
"AMILIA","..","..","..","12","1,739","0.0086"
"AMILIE","..","..","..","..","..",".."
"AMILY","..","..","..","..","..",".."
"AMILYA","..","..","..","..","..",".."
"AMIN","14","1,430","0.0093","..","..",".."
"AMINA","..","..","..","89","328","0.0637"
"AMINADAB","..","..","..","..","..",".."
"AMINAH","..","..","..","27","944","0.0193"
"AMINATA","..","..","..","25","998","0.0179"
"AMINE","10","1,815","0.0066","..","..",".."
"AMIR","203","156","0.1344","..","..",".."
"AMIRA","..","..","..","239","94","0.1710"
"AMIRAH","..","..","..","49","580","0.0351"
"AMIRALI","..","..","..","..","..",".."
"AMIRI","7","2,348","0.0046","..","..",".."
"AMISHA","..","..","..","..","..",".."
